Urchin ID,Tank,Header,Treatment,Urchin_Size,Urchin_B_Weight,Urchin_W_weight,K_S1,K_E1,Period,Dummy,SubP_Event,
K254,1A,1,7.8,4,26.74,5.08,2.74,0.9,B,1,1,
K213,1A,1,7.8,3.6,23.6,3.89,4.77,4.41,B,1,1,
B4,1A,1,7.8,3.5,16.18,2.85,3.99,3.26,B,1,1,
B122,1A,1,7.8,4.2,24.23,4.28,3.61,2.76,B,1,1,
K84,1A,1,7.8,3.2,16.32,3.12,3.03,2.08,B,1,1,
K216,1A,1,7.8,4.2,27.46,4.72,3.19,2.39,B,1,1,
B23,1A,1,7.8,3.7,25.85,4.65,4.05,3.07,B,1,1,
B69,1A,1,7.8,4,20.46,3.83,4.22,3.42,B,1,1,
B39,1A,1,7.8,3.9,26.36,4.62,3.12,2.46,B,1,1,
B100,1A,1,7.8,4.9,40.49,7.2,4.62,3.84,B,1,1,
B114,1A,1,7.8,4.5,35.04,5.73,3.07,1.62,B,1,1,
K249,1A,1,7.8,4.2,30.76,5.55,2.52,1.6,B,1,1,
B18,1B,1,7.8,3.7,17.64,3,3.44,2.62,B,1,1,
K100,1B,1,7.8,4.55,35.92,6.98,4.97,5,B,1,1,DNE?
B53,1B,1,7.8,4.1,23,3.91,3.54,3.06,B,1,1,
B76,1B,1,7.8,4,19.92,3.47,3.59,2.5,B,1,1,
K13,1B,1,7.8,4.8,31.7,5.68,3.75,3.07,B,1,1,
B90,1B,1,7.8,3.5,21.69,4.23,3.99,3.52,B,1,1,
B26,1B,1,7.8,4,28.19,5.05,3.25,2.22,B,1,1,
B5,1B,1,7.8,3.4,16.61,3.14,4.29,3.67,B,1,1,
B124,1B,1,7.8,4.3,29.12,5.09,3.13,2.37,B,1,1,
B99,1B,1,7.8,3.9,16.65,3.32,2.45,1.6,B,1,1,
B61,1B,1,7.8,3.8,20.58,3.68,5.91,4.35,B,1,1,
K255,1B,1,7.8,3.5,18.71,3.45,3.38,2.79,B,1,1,
K54,5A,5,7.8,4.5,34.85,6.25,5.03,3.63,B,1,1,
K205,5A,5,7.8,4.1,26.49,4.65,3.6,2.73,B,1,1,
K226,5A,5,7.8,5.4,48.79,9.12,4.04,3.31,B,1,1,
K200,5A,5,7.8,4.8,37.57,6.54,4.48,4.18,B,1,1,
B95,5A,5,7.8,4.1,23.12,4.13,3.97,2.47,B,1,1,
B52,5A,5,7.8,3.8,20.73,3.74,4.93,4.49,B,1,1,
K201,5A,5,7.8,3.4,18.13,3.32,3.47,3.03,B,1,1,
